FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind
31049,377.7,2004,5,10,98.7,0,2.8,0.5,0.5,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1.1,292,49.9,149.7,34,129,75,0,1,0,-2222,1,1,1,1
48335,377.4,9413,10,22,84.9,13.9,32.7,0.7,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1517,31.9,10.6,209,530,435,0,5,1,-2222,1,1,1,1
08045,377.3,49810,17,8.5,96.9,0.7,22.4,0.7,0.6,8.7,70.2,11.6,20.4,20.1,5.5,6788,68.3,46.2,1110,3427,3708,9,33,13,0,1,1,1,1
28019,377.2,9572,23,21.7,68,31.4,0.9,0.4,0.2,-1111.1,-1111.1,21.6,-1111.1,22.2,9.2,1609,31.3,31.3,303,565,436,0,15,4,189046,1,1,1,1
48157,377.1,463650,530,8.4,62.4,21.1,22.3,0.4,14.9,19.5,81.1,15.2,22,15,4.1,57540,78.1,28.3,10887,23760,20541,5,102,46,3651286,1,1,1,1
13265,376.9,1826,9,21.4,38.6,61.2,1,0,0,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,407,0,0,58,114,92,0,2,1,-2222,1,1,1,1
16021,376.8,10619,8,13.8,96.1,0.2,3.3,2.5,0.7,21.2,76.8,20,18.3,22.4,4.9,1990,84.8,28.3,329,677,450,2,18,3,49,1,1,1,1
13043,376.5,10321,42,21.5,73.8,25.2,12.1,0.6,0.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,10.5,1911,29.1,19.4,215,608,522,0,67,17,-2222,1,1,1,1
26025,376.5,139191,196,11.6,85.3,10.8,3.5,0.6,1.3,25.6,76.7,27.8,32.5,30.6,10,16779,56,51,4687,7717,8649,1,34,10,108047,1,1,1,1
08047,376.3,4932,33,5.8,96.4,0.9,4.6,0.6,1.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,534,0,0,162,375,357,0,8,0,-2222,1,1,1,1
38025,376.1,3442,2,12.2,86.8,0.1,1.1,12.9,0.2,22.6,-1111.1,23.5,-1111.1,16.8,5.7,519,0,0,60,200,111,0,3,2,-2222,1,1,1,1
48069,375.9,7640,9,19.7,95.3,2.5,53.3,1.8,0.3,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,2165,26.2,26.2,206,373,327,2,25,15,6992,1,1,1,1
46031,375.8,4366,2,27.5,33.2,0.2,3.8,65.5,0,34.2,82.4,38.3,23.8,28.5,13.8,1331,0,22.9,109,209,167,0,17,24,-2222,1,1,1,1
