FIPS,Cancer_Incidence,Population_Size,Population_Density,Poverty,White,Black,Hispanic,Native_American,Asian,No_Exercise,Few_Fruit_Veg,Obesity,High_Blood_Pres,Smoker,Diabetes,Uninsured,Prim_Care_Phys_Rate,Dentist_Rate,Unemployed,Major_Depression,Recent_Drug_Use,Ecol_Rpt,Salm_Rpt,Shig_Rpt,Toxic_Chem,Sulfur_Dioxide_Ind,Ozone_Ind,Particulate_Matter_Ind,Lead_Ind,a_ccl4,a_cl_ln,a_cn_ln,a_diesel_ln,a_eox_ln,a_pb_ln,a_pm10_mean_ln,a_pm25_mean,a_so2_mean_ln,a_no2_mean_ln,a_co_mean_ln,a_o3_mean_ln,a_teca_ln,w_112tca_ln,a_dbcp_ln,a_tdi_ln,a_2clacephen_ln,a_2np_ln,a_pnp_ln,a_ch3cn_ln,a_acetophenone_ln,a_acrolein_ln,a_acrylic_acid_ln,a_c3h3n_ln,a_sb_ln,a_benzidine_ln,a_benzyl_cl_ln,a_be_ln,a_biphenyl_ln,a_dehp_ln,a_bromoform_ln,a_cd_ln,a_cs2_ln,a_cs_ln,a_c6h5cl_ln,a_chloroform_ln,a_chloroprene_ln,a_cr_ln,a_cresol_ln,a_cumene_ln,a_dbp_ln,a_dmf_ln,a_me2_phthalate_ln,a_me2so4_ln,a_ech_ln,a_etacrylate_ln,a_etcl_ln,a_edb_ln,a_edc_ln,a_egly_ln,a_edcl2_ln,a_glycol_ethers_ln,a_hcb_ln,a_hcbd_ln,a_hccpd_ln,a_hexane_ln,a_n2h2_ln,a_hcl_ln,a_isophorone_ln,a_mn_ln,a_hg_ln,a_meoh_ln,a_mibk_ln,a_mma_ln,a_mecl_ln,a_mehydrazine_ln,a_mtbe_ln,a_nitrobenzene_ln,a_dma_ln,a_otoluidine_ln,a_pahpom_ln,a_pcp_ln,a_ph3_ln,a_p_ln,a_pcbs_ln,a_procl2_ln,a_proo_ln,a_quinoline_ln,a_se_ln,a_cl4c2_ln,a_toluene_ln,a_c2hcl3_ln,a_etn_ln,a_vyac_ln,a_vycl_ln,a_11dce_ln
46067,37,7581,9,11.6,99.1,0.1,0.6,0.7,0.1,28.2,73.9,21.9,25,13.1,5.7,809,105.5,26.4,154,434,253,8,27,0,0,1,1,1,1,0.4966728,-15.66681,-6.394492,-1.461033,-7.648893,-7.606022,8.114986,7.564838,3.970124,5.167194,3.630377,8.072467,-6.018272,-6.907755,-13.29506,-10.72906,-31.70556,-20.44959,-14.39722,-13.29914,-15.10588,-5.889694,-16.77053,-7.40359,-21.1855,-16.5319,-17.04711,-10.97386,-13.03321,-0.2170573,-27.31621,-10.23811,-10.81151,-15.90103,-12.64033,-2.667606,-15.69117,-9.695746,-9.042138,-10.81073,-14.71052,-10.42638,-11.90908,-18.92052,-17.69765,-17.81072,-9.785735,-8.731573,-6.351105,-4.59919,-13.83324,-7.450726,-16.88528,-19.50845,-19.73162,-4.874777,-15.91066,-5.620536,-24.01056,-7.477966,-7.194176,-3.679774,-5.797513,-13.67015,0.2201747,-27.10555,-6.257148,-17.33628,-13.59247,-19.55793,-6.984443,-16.01629,-12.92415,-30.44861,-8.538877,-7.710692,-11.54172,-13.99742,-12.65005,-3.482661,-2.331503,-4.48406,-14.29957,-13.45605,-12.37488,-13.12764
48279,36.8,14467,14,19.4,94.1,4.3,47.5,1.1,0.4,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,3355,27.6,27.6,364,738,618,10,18,17,1561263,1,1,1,1,0.4966751,-8.978329,-6.612382,-2.150367,-7.516565,-7.620056,5.322196,6.011025,1.891765,4.888581,4.462311,7.057493,-6.013564,-0.6911492,-13.6103,-9.878479,-15.65935,-17.71147,-15.60084,-5.449444,-14.47218,-4.748425,-17.78877,-7.393628,-15.11748,-16.08032,-11.455,-10.05206,-13.38282,-0.2170786,-13.9417,-10.15216,-10.30149,-12.58815,-11.76856,-2.663702,-15.67039,-9.695286,-8.518023,-10.48977,-11.19682,-9.809246,-15.06772,-13.72694,-17.42824,-18.09828,-9.285217,-8.620715,-6.344066,-6.439567,-10.5229,-8.06736,-15.76799,-31.67657,-34.82646,-4.430264,-15.91106,-5.251233,-10.81106,-7.519602,-7.190259,-2.951033,-5.70195,-12.47499,0.2209553,-11.27332,-6.536116,-17.06758,-13.25579,-18.92082,-6.758154,-16.34374,-9.943164,-14.04856,-8.546713,-7.714224,-11.14304,-13.99939,-10.41924,-3.454912,-2.234216,-4.841567,-11.88926,-12.45573,-10.24493,-12.26997
26089,36.8,22157,64,6.7,95,0.4,3.6,3.7,0.3,15.5,-1111.1,18.1,-1111.1,13.3,12.6,1917,22.6,27.1,566,1298,1363,5,17,2,-2222,1,1,1,1,0.4676397,-10.45712,-4.695961,-2.142709,-6.466803,-7.469045,3.907495,8.007671,4.045423,4.965703,4.729103,8.735255,-5.335096,-0.6911492,-13.66204,-9.470674,-31.70556,-16.34073,-12.13604,-12.05158,-12.72594,-4.606424,-15.6241,-5.947956,-19.22388,-18.53963,-15.79494,-11.01231,-10.80656,-0.2173687,-27.31621,-10.22189,-8.708709,-9.725449,-5.913929,-2.670491,-14.85748,-9.524356,-6.613705,-8.724545,-12.2284,-9.973334,-13.69741,-17.59064,-16.3743,-17.40131,-8.742513,-8.614877,-5.449112,-4.844507,-7.684501,-5.508902,-15.15717,-18.17836,-18.40159,-2.700252,-15.93326,-4.417189,-8.698313,-6.908062,-7.191616,-3.453162,-4.012547,-11.81364,0.2183534,-17.48116,-5.424389,-16.01889,-12.34422,-19.09558,-4.657318,-14.28955,-11.76408,-30.44861,-8.415191,-6.42095,-11.12282,-9.263356,-12.33544,-3.246335,-0.4248446,-3.603866,-10.13619,-11.22868,-7.04673,-9.995195
49045,36.6,51311,7,7.7,94.4,1.6,9.2,1.5,1.1,22.4,81.9,25.2,26.5,16.9,7.6,5555,31.2,17.5,1037,3538,1892,2,17,4,30900151,1,1,1,1,0.4967035,2.066982,-4.24444,-1.740525,-7.011635,-6.570329,5.813689,6.205812,3.829345,5.585052,6.651379,8.343481,-4.349799,-0.6911492,-11.34562,-7.934938,-17.17377,-15.38375,-11.67817,-11.48218,-12.24608,-4.286438,-15.91961,-7.139544,-10.69897,-12.068,-13.36352,-10.84212,-12.00968,-0.2170663,-15.45612,-9.456523,-12.51347,-12.76458,-12.85473,-2.613678,-14.08984,-9.280548,-7.58306,-7.634468,-4.175674,-7.248122,-12.22423,-15.24848,-17.3139,-16.23355,-6.983061,-5.751067,-4.68121,-3.532962,-11.90091,-6.008282,-15.11018,-15.41975,-14.77879,-2.37679,-15.91004,1.066485,-12.27967,-7.37015,-7.161543,-2.515423,-2.658033,-9.909213,0.2225248,-13.22999,-4.585645,-31.27111,-25.58449,-17.3236,-6.334909,-13.83086,-12.9055,-14.66566,-8.465567,-5.421656,-9.779902,-10.29106,-9.874313,-3.090534,-0.2999604,-4.458141,-9.36773,-9.803697,-5.006589,-15.02132
51059,36.6,1006529,2548,5.8,72.5,9.3,12.2,0.3,15.5,14.6,71.5,15.1,19.4,14.7,3.6,119712,129.7,57.7,14902,55685,44914,19,568,162,21247,1,2,1,1,0.4973283,-8.840138,-2.570848,-0.0214724,-5.401767,-6.001465,18.96682,11.30925,6.789773,7.950482,7.433956,9.034539,-3.652726,-0.6911492,-12.82802,-5.702237,-15.12751,-15.06462,-9.319486,-8.510966,-8.805361,-2.522957,-14.21521,-5.805072,-12.13999,-16.06887,-10.70825,-10.15368,-8.211855,-0.2166559,-13.40986,-8.736301,-6.016363,-6.350696,-5.252096,-1.95414,-11.26979,-6.776712,-4.620607,-6.820806,-9.561207,-6.557459,-10.92167,-12.8763,-12.92798,-13.76352,-7.133864,-4.574068,-4.027518,-2.103235,-7.701791,-4.1788,-15.98392,-14.74377,-14.96693,-1.271485,-15.78383,0.9040806,-11.13354,-7.262454,-7.123566,-1.732456,-1.454772,-8.03243,0.2762168,-12.94598,0.626458,-12.5628,-8.758985,-14.52424,-3.670102,-16.55498,-13.77884,-12.952,-8.537514,-4.488702,-7.167202,-8.302339,-8.818241,-1.567681,1.101253,-2.756156,-8.7033,-8.322526,-3.766866,-8.24678
16007,36.5,6176,6,11.2,98.8,0.3,2.3,0.6,0.2,26,79.3,24.7,27.8,18.2,7.1,1121,64.8,32.4,125,386,277,1,2,1,-2222,1,1,1,1,0.4966715,-8.846809,-5.818615,-2.581694,-7.147934,-7.5761,9.720126,6.934373,5.029875,6.32246,7.466951,8.419956,-6.006845,-0.6911492,-12.57472,-13.60996,-18.4506,-31.54305,-14.30671,-11.50329,-13.3628,-2.159401,-12.27184,-7.258533,-11.70659,-14.24835,-13.81817,-10.87367,-11.93536,-0.2170624,-16.84114,-9.325521,-7.73841,-5.875971,-15.03532,-2.681552,-16.20236,-8.698368,-5.066412,-10.81197,-14.26414,-11.28565,-15.3814,-16.57877,-29.84972,-18.09713,-9.078074,-8.848212,-6.325153,-5.747671,-12.94393,-6.726298,-17.1176,-31.67657,-34.82646,-3.84443,-15.91222,-6.063035,-10.67671,-7.004724,-7.165205,-4.701634,-5.000241,-11.08287,0.4112826,-27.10555,-8.40922,-13.64535,-25.58449,-20.38766,-4.083216,-32.45934,-10.47539,-30.44861,-8.48831,-7.712214,-9.849194,-11.54012,-11.32664,-3.495332,-0.6222194,-4.649262,-12.49072,-10.01541,-8.883944,-12.87093
13141,36.5,9643,20,23.7,23.1,76.6,0.6,0.2,0.2,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,1607,20.7,0,279,597,507,1,19,8,-2222,1,1,1,1,0.4966968,-9.560137,-5.158085,-1.655288,-5.387992,-7.480407,13.62115,12.59661,4.828692,6.268733,5.94276,8.470724,-5.943942,-0.6911492,-13.31885,-11.31228,-15.95364,-18.84553,-13.04092,-11.75377,-13.53292,-3.434689,-16.66436,-5.875384,-14.25499,-18.48789,-11.73057,-10.75284,-12.28238,-0.2166252,-14.23598,-9.98766,-9.17597,-11.3397,-11.11662,-2.66035,-14.41753,-9.014225,-7.313488,-8.81417,-12.3814,-10.46318,-6.474501,-13.99167,-16.0934,-16.82071,-12.33623,-7.972765,-6.036734,-4.642306,-11.52429,-7.332092,-15.75995,-17.90347,-18.12677,-3.616495,-15.61472,-1.605161,-11.53652,-6.836305,-7.187882,-4.358524,-4.916768,-11.40366,0.2238921,-13.39477,-4.354153,-15.73193,-11.98989,-18.3204,-5.384774,-15.11465,-9.009334,-30.44861,-8.491953,-7.652706,-9.899236,-12.6921,-10.64099,-3.43564,-1.448557,-3.296009,-11.49176,-10.81634,-9.821788,-11.48228
16019,36.2,91856,49,11.6,96.6,0.7,8.1,0.7,0.9,18.4,81.1,21.1,21.4,15.5,7.1,13095,55.5,65.3,1432,5542,3988,36,49,14,0,1,1,1,1,0.4972977,-2.4443,-3.289016,-0.9556418,-4.742761,-6.264408,11.8611,6.757336,3.969605,5.739862,7.128778,8.004169,-4.070399,-0.6911492,-13.1018,-7.433581,-22.201,-9.551619,-10.11147,-6.787344,-8.293694,-2.277574,-7.874833,-6.050147,-9.872966,-16.09165,-9.605516,-10.24479,-7.029943,-0.2170552,-20.59043,-9.475025,-2.849893,-3.189111,-9.085205,-2.537421,-12.16634,-6.075922,-3.259506,-7.414363,-10.39302,-7.141348,-9.550839,-20.32817,-29.84972,-14.23155,-5.453552,-5.22004,-4.435489,-1.097747,-8.079489,-2.311376,-14.06059,-31.67657,-34.82646,-1.602326,-12.17721,-1.823294,-9.045247,-4.689474,-7.160395,-0.7305746,-1.13199,-6.4792,0.701245,-19.08723,-4.554421,-8.858481,-9.585938,-16.32236,-3.869021,-32.45934,-9.17684,-30.44861,-8.019638,-5.157218,-6.921857,-12.36283,-8.144098,-3.101486,1.527255,-1.99299,-6.511974,-5.081057,-4.150936,-7.657656
51830,36.1,11751,1376,17.5,81.6,12.5,3,0.3,4.7,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,-1111.1,959,34,8.5,358,686,994,4,214,101,-2222,1,1,1,1,0.4979115,-8.625395,-3.721651,-0.7119021,-5.95372,-6.601914,13.61634,10.34048,6.368098,7.018129,7.079845,9.031746,-4.350982,-6.907755,-11.61601,-6.363707,-16.65452,-17.25659,-10.81452,-9.834852,-11.26156,-3.746595,-12.86399,-5.269195,-10.36654,-14.7578,-12.02813,-10.32964,-7.854533,-0.2167781,-14.93675,-9.178604,-6.664484,-7.719265,-7.735933,-1.772113,-12.8446,-7.717796,-6.602831,-7.481488,-10.98115,-7.625789,-12.21129,-14.4225,-14.51273,-15.41296,-6.525126,-6.142175,-4.702721,-3.427644,-5.795688,-3.554534,-14.97339,-16.33393,-16.55691,-2.141837,-12.32018,0.0206093,-9.626666,-7.029654,-7.167855,-1.542875,-2.292035,-9.536234,0.2332017,-12.46279,-0.3632521,-13.9245,-10.29436,-15.72114,-5.505819,-14.44886,-14.3657,-30.44861,-8.425534,-4.901154,-8.641605,-9.404263,-9.132889,-2.309678,0.3315097,-3.409828,-10.41953,-9.617898,-4.714952,-8.126755
51510,36.1,135337,8915,8.8,70.7,21.7,13.4,0.4,5.4,18.6,67.6,15.9,18.4,18.6,7.6,17104,120.4,65.8,2308,8049,5557,4,71,26,1797498,1,2,1,1,0.4977,-8.271981,-2.222968,0.2251257,-5.104605,-5.828023,21.88379,13.94943,6.676102,7.902536,7.300401,9.232308,-3.739592,-6.907755,-12.77922,-5.040518,-14.81944,-14.66851,-8.761243,-8.148457,-8.407885,-2.407873,-14.69907,-5.998699,-12.05338,-16.16585,-10.37389,-9.815489,-7.839161,-0.2166329,-13.10179,-8.429056,-5.604541,-10.58151,-4.925858,-2.000781,-10.8471,-6.542221,-4.486589,-6.417264,-9.116374,-6.037567,-10.52893,-12.53146,-12.49057,-13.39644,-6.740664,-4.677358,-4.081708,-1.773382,-8.641504,-2.548137,-17.18053,-14.30931,-14.53254,-0.9816481,-15.7715,1.223486,-9.716728,-7.182821,-7.046865,-1.313649,-1.029643,-7.145124,0.2811733,-12.41062,0.8676798,-12.12278,-8.285598,-13.83225,-3.907371,-16.70106,-15.72204,-30.44861,-8.547195,-4.529179,-6.670061,-8.369905,-8.386716,-1.55446,1.346527,-2.696997,-8.332734,-7.899933,-3.909613,-7.912189
